basho,ts,stake,rikishi,paid_out
201801,2018-01-27 12:52,10,Ikioi,25.9
201801,2018-01-27 12:45,10,Chiyotairyu,15.7
201801,2018-01-27 12:45,10,Tamawashi,17.6
201801,2018-01-27 12:44,10,Shodai,0
201801,2018-01-27 11:28,10,Hokutofuji,0
201801,2018-01-27 11:25,10,Arawashi,21.2
201801,2018-01-26 14:03,10,Yutakayama,22.4
201801,2018-01-26 12:37,10,Chiyonokuni,26.9
201801,2018-01-26 12:36,10,Abi,0
201801,2018-01-26 10:51,10,Takarafuji,0
201801,2018-01-25 10:39,10,Shodai,0
201801,2018-01-25 10:38,10,Arawashi,0
201801,2018-01-25 10:37,10,Nishikigi,0
201801,2018-01-25 10:36,10,Daishomaru,0
201801,2018-01-25 10:31,10,Daieisho,0
201801,2018-01-24 10:20,10,Hokutofuji,18.5
201801,2018-01-24 10:20,10,Hokutofuji,18.5
201801,2018-01-23 15:40,10,Kagayaki,21.7
201801,2018-01-23 15:40,10,Chiyotairyu,0
201801,2018-01-23 10:45,10,Chiyomaru,25.9
201801,2018-01-22 22:35,10,Arawashi,35.2
201801,2018-01-22 10:57,10,Takekaze,23.8
201801,2018-01-22 10:56,10,Chiyotairyu,26.5
201801,2018-01-21 19:41,10,Sokokurai,20.1
201801,2018-01-21 19:40,10,Yoshikaze,0
201801,2018-01-21 19:40,10,Nishikigi,20.1
